species,region,habitat,activity,visual_pattern,threat_level,body_length_cm,weight_kg,altitude_m,temperature_c,observation_quality
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,163.12,52.32,3671.29,22.14,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,74.41,66.0,78.23,25.48,faible
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,173.12,92.81,3886.56,18.09,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,125.61,49.01,796.96,24.12,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,133.89,31.79,1432.6,11.17,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,170.31,135.51,3582.77,14.9,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,249.37,130.27,291.93,27.6,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,151.46,73.11,3981.73,20.45,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,67.99,4.19,2397.88,9.51,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,118.6,53.7,749.96,12.85,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,130.04,50.11,0.0,30.23,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,58.45,7.48,3482.38,18.61,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,259.4,133.87,95.89,7.61,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,138.15,46.83,121.42,29.84,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,126.5,38.98,124.27,17.41,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,143.28,53.94,0.0,11.53,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,56.37,10.89,2637.51,23.91,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,96.67,48.64,0.0,26.79,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,179.2,50.99,4279.71,27.4,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,116.17,68.95,1378.79,14.11,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,129.99,55.09,1352.3,8.45,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,237.57,93.34,159.67,14.32,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,200.36,47.56,3615.49,24.36,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,162.66,78.83,2447.05,17.91,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,200.95,41.17,3708.1,15.17,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,59.19,6.35,3751.54,8.56,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,263.47,108.72,1093.5,10.91,bonne
